,name_track,name_artist,genre,album_name,type,year,id,popularity
0,when the party's over,Billie Eilish,pop,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",track,2019,43zdsphuZLzwA9k4DJhU0I,88
1,Where's My Love,SYML,pop,SYML,track,2019,1B62o4CbdL9ckGvwsz2cgn,83
2,everything i wanted,Billie Eilish,pop,everything i wanted,track,2019,3ZCTVFBt2Brf31RLEnCkWJ,85
3,i love you,Billie Eilish,pop,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",track,2019,6CcJMwBtXByIz4zQLzFkKc,85
4,Cinnamon Girl,Lana Del Rey,pop,Norman Fucking Rockwell!,track,2019,2mdEsXPu8ZmkHRRtAdC09e,88
5,Someone You Loved,Lewis Capaldi,pop,Divinely Uninspired To A Hellish Extent,track,2019,7qEHsqek33rTcFNT9PFqLf,88
6,Cruel Summer,Taylor Swift,pop,Lover,track,2019,1BxfuPKGuaTgP7aM0Bbdwr,91
7,bad guy,Billie Eilish,pop,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",track,2019,2Fxmhks0bxGSBdJ92vM42m,84
8,Years,Astrid S,pop,Down Low,track,2019,5WEAZtjEufELtaxqYcqCJg,55
9,Cry,Cigarettes After Sex,pop,Cry,track,2019,7mDTvYD2ieE4Q28XFziMfJ,88
10,Half A Man,Dean Lewis,pop,A Place We Knew,track,2019,1ugQtcwmKOXvKAYzhjncmv,79
11,Raske Briller,Nicolay Ramm,pop,Raske Briller,track,2019,5lwU311GwiiWBhcXrdy1R4,51
12,Bruises,Lewis Capaldi,pop,Divinely Uninspired To A Hellish Extent,track,2019,4Of7rzpRpV1mWRbhp5rAqG,80
13,den jeg vil ha,Ka2,pop,den jeg vil ha,track,2019,7vXnWjkPqXEqaATYFijw0i,51
14,Uranium Heart,Highasakite,pop,Uranium Heart,track,2019,5O9j5J7eMaBKHqNqupnu0i,51
15,Watermelon Sugar,Harry Styles,pop,Fine Line,track,2019,6UelLqGlWMcVH1E5c4H7lY,86
16,Circles,Post Malone,pop,Hollywood's Bleeding,track,2019,21jGcNKet2qwijlDFuPiPb,88
17,Don't Give Up On Me,Andy Grammer,pop,Naïve,track,2019,0fiijtFXDJ9MOVwgSaEQJ5,80
18,Before You Go,Lewis Capaldi,pop,Divinely Uninspired To A Hellish Extent (Extended Edition),track,2019,2gMXnyrvIjhVBUZwvLZDMP,84
19,What A Time (feat. Niall Horan),Julia Michaels,pop,Inner Monologue Part 1,track,2019,5WtfUKzXircvW8l5aaVZWT,77
20,Du ga mæ viljestyrke,Kristian Kristensen,pop,Kor vi ende,track,2019,4AuJ78qR1JaNvveL2DTC70,49
21,Falling,Harry Styles,pop,Fine Line,track,2019,1ZMiCix7XSAbfAJlEZWMCp,82
22,ilomilo,Billie Eilish,pop,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",track,2019,7qEKqBCD2vE5vIBsrUitpD,77
23,Be Alright,Dean Lewis,pop,A Place We Knew,track,2019,5qrSlOut2rNAWv3ubArkNy,81
